rank,name,symbol,market_cap
1,APPLE INC.,AAPL,2525.11
2,MICROSOFT CORPORATION,MSFT,2099.65
3,ALPHABET INC.,GOOG,1724.81
4,"AMAZON.COM, INC.",AMZN,1480.99
5,"TESLA, INC.",TSLA,822
6,BERKSHIRE HATHAWAY INC.,BRK-A,723.02
7,NVIDIA CORPORATION,NVDA,552.5
8,"Meta Platforms, Inc.",FB,510.66
9,UNITEDHEALTH GROUP INCORPORATED,UNH,454.33
10,JOHNSON & JOHNSON,JNJ,445.4
11,VISA INC.,V,412.44
12,WALMART INC.,WMT,394.08
13,JPMORGAN CHASE & CO.,JPM,380.48
14,EXXON MOBIL CORPORATION,XOM,359.52
15,THE PROCTER & GAMBLE COMPANY,PG,343.28
16,CHEVRON CORPORATION,CVX,332.6
17,"THE HOME DEPOT, INC.",HD,330.83
18,BANK OF AMERICA CORPORATION,BAC,325.26
19,MASTERCARD INCORPORATED.,MA,317.76
20,PFIZER INC.,PFE,282.69
21,ABBVIE INC.,ABBV,263.7
22,ELI LILLY AND COMPANY,LLY,253.61
23,THE COCA-COLA COMPANY,KO,251.11
24,THE WALT DISNEY COMPANY,DIS,239.87
25,Broadcom Inc.,AVGO,235.93
26,COSTCO WHOLESALE CORPORATION,COST,233.77
27,"CISCO SYSTEMS, INC.",CSCO,227.19
28,VERIZON COMMUNICATIONS INC.,VZ,222.65
29,ORACLE CORPORATION,ORCL,212.74
30,"PEPSICO, INC.",PEP,212.68
31,THERMO FISHER SCIENTIFIC INC.,TMO,207.26
32,ACCENTURE PUBLIC LIMITED COMPANY,ACN,205.1
33,COMCAST CORPORATION,CMCSA,204.09
34,ABBOTT LABORATORIES,ABT,201.07
35,"MERCK & CO., INC.",MRK,197.8
36,ADOBE INC.,ADBE,196.41
37,"SALESFORCE.COM, INC.",CRM,195.1
38,"NIKE, INC.",NKE,193.93
39,DANAHER CORPORATION,DHR,187.75
40,INTEL CORPORATION,INTC,186.57
41,WELLS FARGO & COMPANY,WFC,184.89
42,"UNITED PARCEL SERVICE, INC.",UPS,177.38
43,QUALCOMM INCORPORATED,QCOM,171.69
44,"ADVANCED MICRO DEVICES, INC.",AMD,169.72
45,MCDONALD'S CORPORATION,MCD,168.7
46,UNION PACIFIC CORPORATION,UNP,166.56
47,AT&T INC.,T,165.64
48,TEXAS INSTRUMENTS INCORPORATED,TXN,157.34
49,"NEXTERA ENERGY, INC.",NEE,155.54
50,THE CHARLES SCHWAB CORPORATION,SCHW,152.02
